CODE	NAME	COUNT	SOURCE
25198535	Pihlajalinna_Ikioma_Oy	125	PRH
32323058	Laitilan_Terveyskoti_Oy	114	PRH
2809030	S-työterveys_Kuopio_ry	110	MANUAL
17525989	Coronaria_Oy	108	PRH
21580649	TyöSyke_Oy	106	MANUAL
25445938	Heltti_Oy	101	PRH
28303628	Piirainen_Konserni_Oy	100	PRH
4839946	Piirainen_Yhtymä_Ky	98	PRH
1169887	Suomen_Punainen_Risti	97	PTV
15706460	Puustelli_Group_Oy	91	PRH
31377775	KymiTerveys_Oy	89	PRH
23030245	Pihlajalinna_Terveys_Oy	89	PRH
7720174	Meyer_Turku_Oy	89	PRH
19274001	KONE_Oyj	84	PRH
1849188	Hailuodon_kunta	80	PTV
1323223	Eurajoen_kunta	70	PTV
16115945	Lääkäriasema_Cantti_Oy	68	MANUAL
19075424	Ålands_hälso-_och_sjukvård	65	PTV
30877057	Coronaria_Terveys_Oy	65	PRH
24221414	Oy_KristinaMedi_Ab	58	PRH
28877023	Terveyspalvelu_Reseptori_Oy	54	PRH
20796915	Zora_Biosciences_Oy	51	PRH
14636114	Fortum_Oyj	46	PRH
15711278	Sairaanhoitokeskus_Ilmari_Oy	45	PRH
19637124	COOR_SERVICE_MANAGEMENT_LP_OY	44	MANUAL
34171115	Suomen_Ihotalo_Oy	42	PRH
23456991	Boliden_Kevitsa_Mining_Oy	42	PRH
2025113	Urheilulääketieteen_säätiö_sr	35	MANUAL
9488655	Yara_Suomi_Oy	34	PRH
28558137	Din_Hjälp_Ab,_Närpes	29	PRH
18003955	Atria_Suomi_Oy	29	PRH
30024038	Klinik8_Oy	23	PRH
7720043	Boliden_Kokkola_Oy	23	PRH
33097398	VivaElo_Oy	20	PRH
22902419	Oriveden_Lääkäriasema_Oy	19	PRH
1766999	Muuramen_kunta	17	PTV
4600310	Vakka-Suomen_Lääkärikeskus_Oy	15	MANUAL
34746126	Lysna_Oy	13	PRH
35148742	Suomen_Lähilääkärit_Oy	13	PRH
5162340	Lääkäriasema_Resetti_Oy	12	PRH
26121433	Asemanpuiston_Lääkärikeskus_Oy	11	MANUAL
