harmonization_omop::OMOP_ID	THRESHOLD	SIDE	UNIT	QC_NOTES	MISC	conceptName
3019250	NA	NA	%	NA	NA	Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay
3019309	NA	NA	nmol/l	NA	NA	Folate [Moles/volume] in Red Blood Cells
3019473	NA	NA	mg/l	NA	NA	Protein [Mass/volume] in Cerebral spinal fluid
3019497	NA	NA	pmol/l	NA	NA	Choriogonadotropin.beta subunit free [Moles/volume] in Serum or Plasma
3019900	NA	NA	mmol/l	NA	NA	Cholesterol [Moles/volume] in Serum or Plasma
3019977	NA	NA	ph	NA	NA	pH of Arterial blood
3020044	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Cerebral spinal fluid
3020059	NA	NA	mmol/l	NA	NA	Calcium [Moles/volume] corrected for albumin in Serum or Plasma
3020073	NA	NA	ratio	NA	NA	CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Specimen
3020287	NA	NA	%	NA	NA	Protein C actual/normal in Platelet poor plasma by Coagulation assay
3020485	NA	NA	umol/l	NA	NA	Acetaminophen [Moles/volume] in Serum or Plasma
3020491	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Blood
3020629	NA	NA	%	NA	NA	Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay
3020630	NA	NA	g/l	NA	NA	Protein [Mass/volume] in Serum or Plasma
3020779	NA	NA	mmol/l	NA	NA	Urea [Moles/volume] in Serum or Plasma
3020874	NA	NA	u/ml	NA	NA	Milk IgE Ab [Units/volume] in Serum
3020876	NA	NA	g/24h	NA	NA	Protein [Mass/time] in 24 hour Urine
