TEST_NAME	TEST_ID	COUNT	top_prevalence	has_unit_data
u-keto-o	3001122	29010	100.0	True
p-afos	3005282	28039	100.0	True
u-gluk-o	3001479	27975	100.0	True
kolesteroli/hdl-suhde	10067	27781	0.0	False
hdl/kol	505	27161	100.0	True
u-alb-o	3001030	26863	100.0	True
u-ph	13039	26642	0.0	False
fp-kol	605256	26455	100.0	True
fp-kol-hdl	605257	26256	100.0	True
p-gt	1001489	26228	100.0	True
fp-trigly	605258	26182	100.0	True
ab-be	10083	25881	100.0	True
u-nitr-o	3003094	25800	100.0	True
p-psa	4869	25083	100.0	True
u-ph.	21701	23871	0.0	False
u-suhti.	21702	23384	0.0	False
fp-gluk	6001468	23324	100.0	True
u-eryt-o	3001345	23075	100.0	True
b-trom	2629414	23064	100.0	True
b-ly	3003223	23009	100.0	True
b-monos	3003230	23009	100.0	True
b-baso	3003157	23009	100.0	True
l-eos(a)	3001332	23006	100.0	True
l-lymf(a)	3009235	23006	100.0	True
l-mono(a)	3000399	23006	100.0	True
l-neut(a)	3000398	23006	100.0	True
l-baso(a)	3001168	23006	100.0	True
kol/hdlsuh	10037	22867	0.0	False
fp-kol-ldl	1605024	22609	100.0	True
b-retik	2581	22598	100.0	True
b-hba1c	650105	22516	100.0	True
p-happamuusaste(ionis.ca)	595	22410	0.0	False
fp-kol	1605022	22188	100.0	True
p-alb	4586	22154	100.0	True
fs-ph	50100	22040	0.0	False
ph	1000595	21958	0.0	False
u-nitr-o	3094	21869	100.0	True
fs-folaat	1416	21758	100.0	True
u-albkre	4511	21642	100.0	True
u-ph	3667	21609	0.0	False
s-b12-tc2	1142	21574	100.0	True
pt-gfre	656400	21550	0.0	False
u-krea	3002145	21319	93.49	True
u-gluk-o	1479	21143	100.0	True
u-ph	3001530	21058	0.0	False
fp-kol-hdl	1605023	20836	100.0	True
pt-gfreepi	0232	20834	100.0	True
p-tsh	1605042	20670	100.0	True
vb-be	9074	20573	100.0	True
fp-trigly	1605041	20454	100.0	True
p-gluk	1471	20310	100.0	True
u-leuk-o	3002223	20119	100.0	True
b-leuk	1629408	19981	0.0	False
b-eryt	1629409	19962	0.0	False
e-rdw	1631804	19908	0.0	False
b-trom	1629414	19870	0.0	False
u-keto-o	1122	19716	95.16	True
ca-ion	1000597	19146	0.0	False
ca++/7.40	1000596	19140	0.0	False
p-crp	1605013	19124	100.0	True
p-t4v	1605037	18942	100.0	True
p-psa	2003642	18865	100.0	True
p-t4-v	649822	18774	100.0	True
b-neut	1003238	18307	100.0	True
u-leuk-o	2223	18164	100.0	True
ph	9018	17842	0.0	False
s-k/l-s-v	20113	17806	100.0	True
b-leuk	3629408	17552	100.0	True
u-suhteellinentiheys	2715	17548	100.0	True
b-eryt	3629409	17499	100.0	True
p-inr	607047	17490	0.0	False
p-gt	3005292	17319	100.0	True
p-krea	645274	17118	100.0	True
u-eryt-o	1345	17072	100.0	True
s-apob/apoa1-suhde	0623	16804	0.0	False
p-probnp	4760	16554	100.0	True
u-krea	10458	16442	100.0	True
p-krea	605305	15848	100.0	True
u-alb	3001029	15705	100.0	True
ab-be	50030	15686	99.94	True
u-suhti	21702	15672	0.0	False
e-rdw	3635986	15504	0.0	False
u-krea	1010458	15417	0.0	False
p-inr	600493	15107	0.0	False
-l-ind	20537	15069	0.0	False
s-tsh	3002832	14964	100.0	True
p-k	101999	14906	100.0	True
b-eryt	2629409	14818	100.0	True
p-na	103622	14701	100.0	True
p-tfr	4720	14678	100.0	True
p-inr-hy	7355261	14671	0.0	False
u-alb-o	1030	14540	100.0	True
p-gt	605248	14228	100.0	True
p-bil	4592	13960	100.0	True
s-ph	3008523	13864	0.0	False
e-mch	2629412	13628	100.0	True
e-mchc	2629413	13626	100.0	True
p-krea	604429	13625	100.0	True
e-mcv	2629411	13624	100.0	True
p-psa	606117	13586	100.0	True
b-be	105	13570	100.0	True
b-ghb-a1c	1001560	13570	100.0	True
e-rdw	606834	13559	0.0	False
p-krea	2605305	13533	100.0	True
u-suhtih	0352	13353	0.0	False
u-alb	1029	13089	100.0	True
b-ghb-a1c	3001560	12943	100.0	True
b-hba1c	620261	12911	100.0	True
b-neut	6003238	12889	100.0	True
p-d-25	1001220	12837	0.0	False
u-suhti-o	600748	12537	0.0	False
u-ph	600817	12513	0.0	False
s-b12-vit	3001137	12395	100.0	True
cb-be	151	12224	100.0	True
fe-folaat	1001414	12140	100.0	True
p-inr	2607047	11963	0.0	False
p-ferrit	606675	11905	0.0	False
b-la	6002203	11845	100.0	True
p-probnp	611261	11741	0.0	False
